what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386070180320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386070180320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386070180928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070185452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070186108
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070319628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070371748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070408454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070465885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070468896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070472328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070476665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070479567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070481485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070485853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070488069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070488615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386070490159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386070493232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070493965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070498177
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070500533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070524760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070530391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070532326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070535649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070544385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386070547645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070553947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070554041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386070557099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070559985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070560078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070563307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070567114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386070567972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070571747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070583619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070588751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070593244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386070602323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386070608251
