what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104030099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104080144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104090097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104153573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386104168143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386104168424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386104168627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104172636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104182511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386104185709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104187706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386104196411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104198376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104201559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104207081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104336561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104587846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386104588969
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386104588985
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386104891219
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386104892264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386104902981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104908083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104911951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104919159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104926023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386104929845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386104939298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386104970639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104973915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104976489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386104982401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386104985396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386104999405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105011479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105012431
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386105012431
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386105022571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105027438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105046174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386105046174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386105046174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105046751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105047469
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386105048514
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386105050323
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386105052117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386105053412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106753781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106904352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106957205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106970730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106979653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106981479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106986751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106997359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386106999044
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1386107037529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386107046250
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386107108665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107112643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107132143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386107132159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386107132159
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386107133173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107134577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107556385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386107587164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107601157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107601922
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386107601937
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386107605057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107608505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107617865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386107617865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1386107617865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386107618692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386108905879
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386108911807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386108916861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386108934146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386108935987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386108936720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386108938545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109566087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109574994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109579191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109592201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109905589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109917820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109926915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109935463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109935838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109942282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109942328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386109942406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110372046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110375806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110710160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110728584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110770470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386110798534
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110802731
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110802871
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110807941
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110808035
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110858953
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110861839
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386110878828
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110884054
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110884116
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110928264
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386110929762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110942803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386110943880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386111025327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386111026762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386111070068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386111194197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386111199220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386111202122
