what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385998291183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998297470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998303585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385998305957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385998316034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998318000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385998320855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998325035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385998326486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998337422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385998339497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998344910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998649975
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998651631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998653561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998664041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998664880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998676133
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998678268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998680634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998681435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998685993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998688081
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385998689977
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1385998691150
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998691223
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998691279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998694792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998694976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998695144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998695296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998695456
activated,editor,org.eclipse.wst.wsdl.ui,1.2.304.v201012071645,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1385998698736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998702782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998704012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998709131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998713648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998810725
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998813183
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385998814378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998817232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998818066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998819040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998823585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998837708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998842216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998842789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998849012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998855072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998855593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998876971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998878848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998879344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998881238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998884643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998890152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998892688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998893641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998894370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998900353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998900938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998906979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998911384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998911969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998914595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998919096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998919545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998922308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998923574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998924025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998934723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998938850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998939532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385998945096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385998945890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385999000955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385999003400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385999003858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385999036531
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385999038018
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385999038062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385999042641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385999042841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385999043625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385999074407
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385999076104
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385999076104
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385999078097
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385999078141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385999081417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385999082842
