what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386088601274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386088628652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386088629308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386088630805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386088631991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386088641694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386088860735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386088868129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386089303963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386089308144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386089363399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386089406814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091043863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386091046499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386091046873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1386091047435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1386091049213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091202967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091248160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091267223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091278440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386091280359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091289594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091299281
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1386091299344
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1386091305568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386091306083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386091323103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386091336456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386091338937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386091340621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386091341713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386091350590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386091351120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386091353413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091355909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091364302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386091366736
