what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386145479249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145481786
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1386145484029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145484054
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1386145484065
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386145585421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386145592541
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386145607403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145609727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145609779
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386145609898
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386145622547
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386145636965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145645810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145647021
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386145647036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145715736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1386145715762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145717528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145720031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145720958
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386145720967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145916471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145965476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145969953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145971580
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386145971589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145972290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386145973978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386146175321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386146190447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386146191703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386146194842
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386146272601
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386146272622
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1386146273935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386146277727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386146278732
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386146284291
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1386146285283
